名称,状态,最优步数,类型
new5073,18015826959242128L,28,16
new8970,12967648813192088L,0,24
new8389,18015845211820956L,42,28
new8145,1144163309867932L,39,28
new1326,19703561218544528L,33,16
new5325,19703560144786320L,39,16
new2167,582262922785692L,26,28
new6086,582272049599390L,29,30
new274,3468512795051836L,64,28
new7697,18015845211558812L,42,28
new1206,18648028982137744L,70,16
new3785,21965031844121982L,2,30
new1325,19703526858806160L,34,16
new2309,19703525751493008L,38,16
new5324,19703525785047952L,38,16
new1402,582262922261404L,36,28
new2131,18015862390903710L,29,30
new1706,18366519645688720L,70,16
new1387,582280639009694L,25,30
new1201,18647994622399376L,69,16
new7531,18015844155888284L,26,28
new2168,582262923834268L,26,28
new2579,1144096737842078L,37,30
new6301,22010068166271096L,4,24
new1994,581729819398815L,23,31
new546,581730339500958L,25,30
new8503,10151345383691164L,23,28
new6589,22010033806532728L,3,24
new1666,581730338976671L,22,31
new10586,10151345384149916L,26,28
new3629,581730338976670L,-1,30
new5316,1144088148431774L,38,30
new4451,19422945215107996L,-1,28
new5915,21409744188903838L,2,30
new4410,19704420191818652L,-1,28
new73,20283827135746975L,6,31
new3946,21411993911838108L,-1,28
new5306,19422945215370140L,-1,28
new862,21409735598969246L,3,30
new3653,21693468871771292L,-1,28
new587,20275555036072832L,9,0
new2893,3950890587548572L,4,28
new5341,19704420192080796L,-1,28
new9747,21974358432223644L,3,28
new1518,2269721204142751L,7,31
new8792,20548845122147228L,14,28
new3721,21956768662327708L,6,28
new8850,20830320098857884L,15,28
new5717,21409744188445086L,6,30
new1889,20283834651530136L,11,24
new1690,3669415611362204L,4,28
new5935,20548845121885084L,14,28
new725,19704437371163550L,-1,30
new3326,21409735598510494L,7,30
new1902,21974943847957660L,-1,28
new3726,21956768662589852L,5,28
new5885,20830320098595740L,15,28
new6257,19422962394452894L,-1,30
new2145,21674159830765968L,13,16
new221,21956734302851480L,20,24
new6948,21395441376322712L,-1,24
new5123,21676916336256408L,-1,24
new3833,22010068157882520L,5,24
new10429,21692883456561564L,5,28
new884,20566409122435992L,16,24
new10423,21974358433272220L,4,28
new2271,21958391312442776L,-1,24
new4891,22010068157620376L,6,24
new4012,21674159831290256L,6,16
new8152,21465774687020184L,-1,24
new717,20847884098622360L,12,24
new4057,20267850133181080L,12,24
new5121,18016120097067920L,28,16
new6998,20566409122042776L,7,24
new3075,21956751481999774L,-1,30
new6687,20830834428842910L,-1,30
new4557,20847884098753432L,6,24
new4979,18025474795301016L,-1,24
new1409,20549359468909214L,-1,30
new3541,20267884492198558L,-1,30
new9427,19157934746784664L,12,24
new4498,18016119024358300L,24,28
new8466,18016120098116508L,42,28
new5939,581997163303838L,29,30
new3757,18016120098116504L,26,24
new4609,18016119024096156L,25,28
new7578,18016120097854364L,42,28
new1819,19157927750644383L,17,31
new342,3949499044424560L,9,16
new746,18016137277199262L,29,30
new5124,18016120098116496L,29,16
new1900,582005752714142L,25,30
new1551,19157927231067039L,14,31
new3515,18015586440811422L,25,30
new4559,11840916772246424L,4,24
new7332,20566374764401560L,7,24
